iter	RMSE
169	18837.33585
170	18800.50217
171	18775.10899
172	18739.66359
173	18703.91266
174	18677.5617
175	18641.3023
176	18620.68005
177	18591.23048
178	18560.87954
179	18547.59464
180	18521.47544
181	18492.71069
182	18471.55281
183	18442.76397
184	18417.80015
185	18383.95527
186	18359.27904
187	18333.04077
188	18304.29771
189	18273.58132
190	18247.03635
191	18218.85193
192	18199.99217
193	18169.75226
194	18152.00796
195	18128.86494
196	18099.82949
197	18082.65076
198	18058.54378
199	18023.39487
200	18008.49025
201	17996.20192
202	17975.38545
203	17955.88321
204	17937.20837
205	17909.06031
206	17892.41128
207	17863.12378
208	17850.11772
209	17836.92228
210	17818.68672
211	17775.5978
212	17749.26136
213	17715.88689
214	17684.81962
215	17673.44858
216	17651.09411
217	17632.08821
218	17602.18364
219	17581.06486
220	17567.00889
221	17551.33197
222	17527.36501
223	17491.83088
224	17479.40119
225	17445.83714
226	17431.19585
227	17405.81373
228	17384.70667
229	17362.09157
230	17337.74253
231	17318.58863
232	17286.31952
233	17240.73072
234	17226.31811
235	17194.25161
236	17177.25376
237	17151.00042
238	17132.4366
239	17105.754
240	17090.57904
241	17079.49104
242	17051.28221
243	17016.08504
244	17005.08326
245	16983.13153
246	16955.55089
247	16940.65383
248	16934.18531
249	16905.19254
250	16875.16766
251	16853.74263
252	16830.18726
253	16801.6551
254	16777.92437
255	16762.11953
256	16736.16158
257	16722.17946
258	16711.89584
259	16686.83576
260	16668.99319
261	16658.28618
262	16627.23531
263	16604.54219
264	16571.00444
265	16554.07553
266	16541.53553
267	16511.37287
268	16474.38106
269	16446.31289
270	16424.97451
271	16415.18888
272	16396.92245
273	16368.25022
274	16351.03794
275	16338.8753
276	16309.55272
277	16295.91847
278	16283.85962
279	16260.87757
280	16251.00789
281	16239.84486
282	16213.55626
283	16191.09177
284	16168.81399
285	16148.15583
286	16129.63309
287	16103.50643
288	16099.66451
289	16078.14422
290	16066.07699
291	16053.84029
292	16050.43247
293	16019.87497
294	16014.58746
295	16003.17074
296	15980.78485
297	15970.85178
298	15947.18952
299	15932.34562
300	15916.18113
301	15902.41161
302	15890.33992
303	15875.86263
304	15850.38157
305	15841.60894
306	15827.09316
307	15814.13001
308	15797.85534
309	15774.08857
310	15758.91208
311	15728.44346
312	15697.53415
313	15689.44694
314	15676.84881
315	15650.47146
316	15622.58245
317	15613.86854
318	15609.12834
319	15602.27499
320	15570.9798
321	15553.61704
322	15541.03196
323	15517.34296
324	15495.41184
325	15488.83993
326	15465.74959
327	15443.59807
328	15416.66251
329	15406.04354
330	15384.40341
331	15372.04433
332	15351.86686
333	15344.74602
334	15330.26961
335	15307.75677
336	15287.15246
337	15280.43134
338	15269.37992
339	15248.50598
340	15230.72957
341	15209.84108
342	15187.90675
343	15183.7163
344	15159.14489
345	15142.48639
346	15127.14834
347	15120.89369
348	15109.80203
349	15093.70839
350	15087.90434
351	15075.89441
352	15068.86913
353	15065.15829
354	15055.76624
355	15053.61217
356	15045.14027
357	15021.52278
358	14997.14653
359	14978.80846
360	14963.4894
361	14952.06765
362	14935.04856
363	14929.26165
364	14914.79094
365	14901.65235
366	14885.4299
367	14863.55392
368	14847.35865
369	14828.08425
370	14813.46523
371	14789.84339
372	14782.73308
373	14756.7092
374	14745.8398
375	14722.32118
376	14708.66474
377	14695.51097
378	14689.99793
379	14680.80268
380	14664.27764
381	14645.18894
382	14627.93551
383	14604.32402
384	14587.26377
385	14567.54186
386	14557.15326
387	14538.50082
388	14529.10855
389	14520.29314
390	14499.6885
391	14497.88833
392	14478.40529
393	14461.82078
394	14451.4211
395	14432.56808
396	14413.02934
397	14399.96076
398	14382.33574
399	14377.44473
400	14373.10588
401	14367.58567
402	14360.91415
403	14348.44487
404	14339.63676
405	14327.62991
406	14320.49727
407	14304.47861
408	14290.06699
409	14281.67326
410	14264.27466
411	14239.98257
412	14223.97961
413	14206.60256
414	14193.092
415	14182.56974
416	14167.59748
417	14160.67447
418	14145.46356
419	14127.0855
420	14100.46367
421	14087.98894
422	14077.86612
423	14056.72085
424	14045.15825
425	14029.65516
426	14016.09175
427	14007.59071
428	13996.49982
429	13971.78771
430	13956.65673
431	13947.12417
432	13927.87203
433	13916.75243
434	13911.65798
435	13899.06024
436	13897.57875
437	13884.5885
438	13870.98136
439	13851.01791
440	13837.85517
441	13819.35748
442	13800.22201
443	13789.45225
444	13775.29585
445	13761.13527
446	13746.42813
447	13740.14838
448	13722.9436
449	13710.80853
450	13707.44171
451	13697.27049
452	13688.42135
453	13675.40356
454	13661.25671
455	13648.76588
456	13636.75445
457	13628.18073
458	13613.74113
459	13594.16045
460	13578.0304
461	13563.96028
462	13558.06256
463	13546.22765
464	13538.80997
465	13525.88942
466	13499.78057
467	13485.89382
468	13477.01737
469	13456.24713
470	13448.88691
471	13436.17732
472	13421.315
473	13409.7874
474	13384.28714
475	13367.28092
476	13351.30347
477	13344.21129
478	13334.26752
479	13327.16935
480	13325.0546
481	13311.679
482	13307.01208
483	13298.50287
484	13286.71711
485	13275.11774
486	13263.27472
487	13251.69189
488	13245.15443
489	13234.35896
490	13223.61095
491	13211.10969
492	13202.57757
493	13193.60831
494	13180.05434
495	13165.76062
496	13155.71133
497	13145.91988
498	13136.57383
499	13120.0803
500	13118.36095
501	13101.09174
502	13097.84511
503	13087.22496
504	13075.96914
505	13067.403
506	13053.87025
507	13040.45685
508	13029.86655
509	13022.16585
510	13021.28872
511	13014.3619
512	12998.37776
513	12985.89583
514	12978.44549
515	12965.01037
516	12951.55411
517	12947.03708
518	12942.45065
519	12928.38566
520	12915.71369
521	12900.90404
522	12882.35926
523	12871.97771
524	12859.38639
525	12841.16013
526	12823.95138
527	12808.94098
528	12806.36957
529	12794.35359
530	12792.45947
531	12781.40287
532	12765.99949
533	12755.46409
534	12750.08063
535	12735.57847
536	12717.95361
537	12710.46686
538	12701.33743
539	12693.67483
540	12676.65129
541	12669.23281
542	12658.23227
543	12648.07143
544	12633.05707
545	12609.54982
546	12594.12086
547	12583.31569
548	12566.95571
549	12559.69272
550	12549.55039
551	12540.40217
552	12534.67862
553	12521.12934
554	12507.30218
555	12503.10242
556	12482.87208
557	12461.22762
558	12449.34814
559	12434.37973
560	12427.79998
561	12418.92398
562	12410.60626
563	12392.6329
564	12375.76131
565	12369.84812
566	12354.12325
567	12340.55365
568	12326.88126
569	12313.60543
570	12300.42564
571	12298.28121
572	12287.33437
573	12280.01258
574	12262.69112
575	12255.60054
576	12243.38425
577	12223.7959
578	12210.56933
579	12201.43752
580	12195.37187
581	12182.46405
582	12167.75112
583	12159.993
584	12158.32059
585	12148.84949
586	12135.40401
587	12130.09032
588	12125.48512
589	12116.1052
590	12105.75692
591	12098.63032
592	12079.18218
593	12065.84744
594	12053.54763
595	12035.84172
596	12023.30589
597	12011.00404
598	11999.88999
599	11990.31306
600	11975.91065
601	11957.85065
602	11946.55216
603	11936.18747
604	11927.28092
605	11913.72319
606	11907.02257
607	11895.03481
608	11878.84237
609	11874.92637
610	11861.0268
611	11852.72168
612	11846.46492
613	11833.40717
614	11818.89324
615	11807.45558
616	11796.96229
617	11788.86509
618	11783.39327
619	11774.50314
620	11763.80903
621	11755.63656
622	11747.00601
623	11735.54133
624	11722.79262
625	11711.71169
626	11710.71505
627	11698.21409
628	11697.41981
629	11687.72348
630	11676.93561
631	11668.09891
632	11658.77226
633	11655.6734
634	11643.67096
635	11633.17515
636	11624.32869
637	11612.23668
638	11607.06679
639	11588.90803
640	11575.59627
641	11569.82759
642	11561.05502
643	11546.69017
644	11537.02363
645	11521.14061
646	11508.47267
647	11507.74614
648	11503.70487
649	11501.64524
650	11495.32919
651	11487.30816
652	11482.39954
653	11469.04599
654	11457.65211
655	11448.56848
656	11435.63257
657	11431.66976
658	11419.07666
659	11411.65717
660	11403.62204
661	11390.29944
662	11378.81561
663	11372.18504
664	11371.20244
665	11356.01068
666	11355.33512
667	11345.45807
668	11337.09285
669	11320.95721
670	11314.39269
671	11302.9393
672	11292.3528
673	11291.66386
674	11283.75469
675	11273.74893
676	11266.36578
677	11252.37243
678	11242.0161
679	11229.39189
680	11214.87596
681	11209.00481
682	11197.81554
683	11191.91137
684	11185.05953
685	11168.47095
686	11154.42303
687	11146.43819
688	11145.94076
689	11132.70738
690	11126.49294
691	11120.80369
692	11105.71671
693	11095.81529
694	11089.89953
695	11080.99478
696	11064.13065
697	11049.80174
698	11032.2692
699	11022.40564
700	11019.3226
701	11014.91761
702	11004.5354
703	11000.168
704	10998.57781
705	10979.86535
706	10971.8266
707	10962.95475
708	10952.68327
709	10940.35196
710	10930.72096
711	10922.40655
712	10914.46154
713	10902.55386
714	10893.75505
715	10892.05416
716	10887.58545
717	10876.45342
718	10874.90857
719	10861.39025
720	10850.21426
721	10834.52397
722	10815.27801
723	10809.3051
724	10801.46946
725	10794.88123
726	10781.64426
727	10775.8591
728	10765.36356
729	10762.72462
730	10754.31112
731	10749.73925
732	10742.71091
733	10735.90087
734	10731.16362
735	10728.79633
736	10723.41474
737	10718.76386
738	10708.97774
739	10701.62795
740	10696.79422
741	10693.47811
742	10680.36501
743	10671.00393
744	10664.5387
745	10657.86891
746	10640.74142
747	10634.73763
748	10626.08902
749	10620.87106
750	10614.35086
751	10601.4125
752	10596.4432
753	10590.77631
754	10584.27284
755	10576.98801
756	10569.16539
757	10556.64697
758	10549.26969
759	10539.30097
760	10531.86743
761	10524.24498
762	10515.03028
763	10508.0571
764	10503.1792
765	10501.19364
766	10495.54877
767	10487.74998
768	10483.46788
769	10472.48859
770	10467.8899
771	10459.03486
772	10452.83594
773	10440.1099
774	10432.19706
775	10421.81316
776	10419.10699
777	10414.93042
778	10405.19777
779	10398.40472
780	10389.77765
781	10378.03569
782	10371.25939
783	10368.05352
784	10366.31566
785	10361.22032
786	10347.27416
787	10339.7457
788	10331.2834
789	10326.16664
790	10318.26222
791	10304.80015
792	10299.03455
793	10293.19901
794	10283.90783
795	10280.16529
796	10271.99954
797	10262.22453
798	10252.83021
799	10251.19878
800	10240.85816
801	10230.50218
802	10219.09263
803	10210.40394
804	10200.62259
805	10191.13868
806	10185.77924
807	10176.84986
808	10176.6301
809	10167.23975
810	10158.85305
811	10151.49218
812	10141.62222
813	10133.80947
814	10131.39639
815	10124.96076
816	10117.2787
817	10114.16515
818	10106.57712
819	10103.88503
820	10094.09399
821	10085.71848
822	10075.85304
823	10067.00997
824	10058.79147
825	10050.90227
826	10047.70405
827	10037.25491
828	10025.68654
829	10018.44176
830	10012.04098
831	10002.09252
832	9992.115374
833	9979.905494
834	9978.911226
835	9971.0008
836	9963.369809
837	9953.685543
838	9943.054176
839	9936.322271
840	9933.196281
841	9925.167408
842	9918.276986
843	9909.353
844	9901.369774
845	9891.926055
846	9885.113809
847	9878.709714
848	9871.134329
849	9867.616062
850	9861.434693
851	9852.39441
852	9847.482434
853	9842.152817
854	9834.93156
855	9829.487794
856	9820.181964
857	9811.862021
858	9801.317521
859	9795.605858
860	9786.742194
861	9781.027687
862	9768.792377
863	9760.280792
864	9751.174242
865	9745.460512
866	9735.227351
867	9724.316822
868	9716.248878
869	9708.29019
870	9702.05632
871	9697.039876
872	9688.615964
873	9682.392724
874	9682.090877
875	9670.924413
876	9661.523269
877	9659.654289
878	9651.95077
879	9647.234747
880	9641.80562
881	9636.011265
882	9625.62743
883	9618.390251
884	9613.55587
885	9606.037396
886	9595.341613
887	9587.945304
888	9580.677207
889	9569.874921
890	9566.905312
891	9558.830117
892	9550.3704
893	9545.314783
894	9537.479355
895	9529.381614
896	9522.136378
897	9513.656883
898	9505.615148
899	9498.682239
900	9490.171494
901	9485.219361
902	9483.848407
903	9478.116529
904	9471.617258
905	9465.238256
906	9456.651757
907	9449.436809
908	9443.870773
909	9435.709342
910	9427.300743
911	9417.405994
912	9410.752775
913	9407.966903
914	9400.669814
915	9393.552419
916	9387.86102
917	9384.417933
918	9377.831885
919	9365.479689
920	9357.771996
921	9351.753773
922	9346.953345
923	9340.112531
924	9332.690952
925	9326.05534
926	9319.137467
927	9308.904558
928	9302.90722
929	9298.019245
930	9288.966128
931	9285.908395
932	9279.882976
933	9272.619503
934	9269.988484
935	9264.338694
936	9258.470783
937	9250.461852
938	9243.830262
939	9235.758578
940	9225.799939
941	9222.073993
942	9215.263932
943	9207.860841
944	9206.635428
945	9199.798353
946	9187.53207
947	9180.611998
948	9173.175939
949	9168.545203
950	9160.550596
951	9157.719153
952	9153.172546
953	9149.021357
954	9142.948283
955	9136.607299
956	9128.989432
957	9123.508795
958	9119.116678
959	9111.784451
960	9104.098457
961	9095.67999
962	9090.440129
963	9081.741971
964	9074.231353
965	9071.291788
966	9062.262895
967	9054.419435
968	9048.176947
969	9038.89976
970	9028.848961
971	9023.573898
972	9015.069828
973	9006.513278
974	8998.573846
975	8991.399152
976	8987.865767
977	8982.149319
978	8972.897357
979	8965.697688
980	8958.205259
981	8951.944568
982	8944.182753
983	8938.129228
984	8929.829303
985	8928.805283
986	8922.32499
987	8918.960019
988	8915.317036
989	8914.929447
990	8906.000868
991	8897.207319
992	8895.541669
993	8894.310648
994	8890.341745
995	8882.92983
996	8874.680786
997	8872.541442
998	8868.035039
999	8862.690291
